_id.scid,_id.date,index
SCET_0005,2025/11/11,910.4677893847451
SCET_0005,2025/11/10,902.886204720839
SCET_0005,2025/11/07,895.3572293660957
SCET_0005,2025/11/06,895.3458632009316
SCET_0005,2025/11/04,897.2803541361519
SCET_0005,2025/11/03,901.6433071428237
SCET_0005,2025/10/31,900.9995322102479
SCET_0005,2025/10/30,903.0266443229382
SCET_0005,2025/10/29,907.7778892670497
SCET_0005,2025/10/28,895.4049390033146
SCET_0005,2025/10/27,906.0076673217146
SCET_0005,2025/10/24,902.1409721061299
SCET_0005,2025/10/23,908.8154506077083
SCET_0005,2025/10/20,918.2515441485147
SCET_0005,2025/10/17,923.8786527821937
SCET_0005,2025/10/16,908.8982632579373
SCET_0005,2025/10/15,906.8722065244116
SCET_0005,2025/10/14,901.3945244631994
SCET_0005,2025/10/13,895.8752057866401
SCET_0005,2025/10/10,891.6194733692123
SCET_0005,2025/10/09,891.0604042703733
SCET_0005,2025/10/08,888.3187488953288
SCET_0005,2025/10/07,884.2167987852592
SCET_0005,2025/10/06,882.1761009616657
SCET_0005,2025/10/03,871.696155483508
SCET_0005,2025/10/01,872.0796982147081
SCET_0005,2025/09/30,860.5231006885155
SCET_0005,2025/09/29,862.7614624113771
SCET_0005,2025/09/26,858.0328410101831
SCET_0005,2025/09/25,863.786451742003
SCET_0005,2025/09/24,867.781734383234
SCET_0005,2025/09/23,872.2856963598808
SCET_0005,2025/09/22,866.4864033925834
SCET_0005,2025/09/19,863.7118391194448
SCET_0005,2025/09/18,866.2954906704736
SCET_0005,2025/09/17,863.7530822634436
SCET_0005,2025/09/16,864.6437212613126
SCET_0005,2025/09/15,856.8964604353021
SCET_0005,2025/09/12,858.733580986813
SCET_0005,2025/09/11,854.7727486341288
SCET_0005,2025/09/10,854.2182528450021
SCET_0005,2025/09/09,852.3859902871417
SCET_0005,2025/09/08,847.6223909078185
SCET_0005,2025/09/05,842.7577944268273
SCET_0005,2025/09/04,840.6868678313442
SCET_0005,2025/09/03,839.0536763449709
SCET_0005,2025/09/02,832.5937894875843
SCET_0005,2025/09/01,833.6160732611825
SCET_0005,2025/08/29,825.397858313207
SCET_0005,2025/08/28,824.3632201043974
SCET_0005,2025/08/26,826.8934499727432
SCET_0005,2025/08/25,831.2615039787094
